year,imdb,title,test,clean_test,binary,budget,domgross,intgross,code,budget_2013,domgross_2013,intgross_2013,period_code,decade_code,imdb_id,plot,rated,response,language,country,writer,metascore,imdb_rating,director,released,actors,genre,awards,runtime,type,poster,imdb_votes,error
2011,tt0970179,Hugo,dubious,dubious,FAIL,180000000,73864507.0,185033215.0,2011FAIL,186424342,76500789.0,191637196.0,1.0,1.0,970179,"Set in 1930s Paris, an orphan who lives in the walls of a train station is wrapped up in a mystery involving his late father and an automaton.",PG,True,English,USA,"John Logan (screenplay), Brian Selznick (book)",83.0,7.6,Martin Scorsese,23 Nov 2011,"Ben Kingsley, Sacha Baron Cohen, Asa Butterfield, Chloë Grace Moretz","Adventure, Drama, Family",Won 5 Oscars. Another 45 wins & 103 nominations.,126 min,movie,http://ia.media-imdb.com/images/M/MV5BMjAzNzk5MzgyNF5BMl5BanBnXkFtZTcwOTE4NDU5Ng@@._V1_SX300.jpg,"189,943",
2011,tt1605783,Midnight in Paris,ok,ok,PASS,30000000,56816662.0,154816662.0,2011PASS,31070724,58844493.0,160342190.0,1.0,1.0,1605783,"While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s every day at midnight.",PG-13,True,"English, French, Spanish, German","Spain, USA",Woody Allen,81.0,7.7,Woody Allen,10 Jun 2011,"Owen Wilson, Rachel McAdams, Kurt Fuller, Mimi Kennedy","Comedy, Fantasy, Romance",Won 1 Oscar. Another 18 wins & 52 nominations.,94 min,movie,http://ia.media-imdb.com/images/M/MV5BMTM4NjY1MDQwMl5BMl5BanBnXkFtZTcwNTI3Njg3NA@@._V1_SX300.jpg,"219,955",
2011,tt0873886,Red State,ok,ok,PASS,4000000,1065429.0,1065429.0,2011PASS,4142763,1103455.0,1103455.0,1.0,1.0,873886,"Set in Middle America, a group of teens receive an online invitation for sex, though they soon encounter fundamentalists with a much more sinister agenda.",R,True,English,USA,Kevin Smith,50.0,6.2,Kevin Smith,30 Sep 2011,"Michael Angarano, Deborah Aquila, Nicholas Braun, Ronnie Connell","Action, Horror, Thriller",3 wins & 1 nomination.,88 min,movie,http://ia.media-imdb.com/images/M/MV5BMTQyNjMwMzA1MV5BMl5BanBnXkFtZTcwMzQyNDAxNg@@._V1_SX300.jpg,"41,629",
2011,tt0983193,The Adventures of Tintin,notalk,notalk,FAIL,130000000,77591831.0,373993951.0,2011FAIL,134639802,80361144.0,387342089.0,1.0,1.0,983193,Intrepid reporter Tintin and Captain Haddock set off on a treasure hunt for a sunken ship commanded by Haddock's ancestor.,PG,True,English,"USA, New Zealand","Steven Moffat (screenplay), Edgar Wright (screenplay), Joe Cornish (screenplay), Hergé (comic book series ""The Adventures of Tintin"")",68.0,7.4,Steven Spielberg,21 Dec 2011,"Jamie Bell, Andy Serkis, Daniel Craig, Nick Frost","Animation, Action, Adventure",Nominated for 1 Oscar. Another 13 wins & 34 nominations.,107 min,movie,http://ia.media-imdb.com/images/M/MV5BNDE5MDExNTQ1OF5BMl5BanBnXkFtZTcwMDIxMTM5Ng@@._V1_SX300.jpg,"139,438",
2011,tt1568346,The Girl with the Dragon Tattoo,notalk-disagree,notalk,FAIL,90000000,102515793.0,233170238.0,2011FAIL,93212171,106174662.0,241492267.0,1.0,1.0,1568346,"Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for forty years by Lisbeth Salander, a young computer hacker.",R,True,English,"USA, Sweden, Norway","Steven Zaillian (screenplay), Stieg Larsson (novel)",71.0,7.9,David Fincher,20 Dec 2011,"Daniel Craig, Rooney Mara, Christopher Plummer, Stellan Skarsgård","Crime, Drama, Mystery",Won 1 Oscar. Another 14 wins & 33 nominations.,158 min,movie,http://ia.media-imdb.com/images/M/MV5BMTczNDk4NTQ0OV5BMl5BanBnXkFtZTcwNDAxMDgxNw@@._V1_SX300.jpg,"243,346",
2011,tt1509767,The Three Musketeers,men,men,FAIL,90000000,20377913.0,139877913.0,2011FAIL,93212171,21105217.0,144870266.0,1.0,1.0,1509767,The hot-headed young D'Artagnan along with three former legendary but now down on their luck Musketeers must unite and defeat a beautiful double agent and her villainous employer from seizing the French throne and engulfing Europe in war.,PG-13,True,English,"Germany, France, UK, USA","Alex Litvak (screenplay), Andrew Davies (screenplay), Alexandre Dumas père (novel)",35.0,5.8,Paul W.S. Anderson,21 Oct 2011,"Matthew Macfadyen, Milla Jovovich, Helen George, Christian Oliver","Action, Adventure, Romance",2 nominations.,110 min,movie,http://ia.media-imdb.com/images/M/MV5BMTM3OTc2OTM2OF5BMl5BanBnXkFtZTcwMDM1MjU1NQ@@._V1_SX300.jpg,"69,603",
2011,tt1399103,Transformers: Dark of the Moon,ok-disagree,ok,PASS,195000000,352390543.0,1123794076.0,2011PASS,201959703,364967639.0,1163903170.0,1.0,1.0,1399103,"The Autobots learn of a Cybertronian spacecraft hidden on the moon, and race against the Decepticons to reach it and to learn its secrets.",PG-13,True,English,USA,Ehren Kruger,42.0,6.4,Michael Bay,29 Jun 2011,"Shia LaBeouf, Rosie Huntington-Whiteley, Josh Duhamel, John Turturro","Action, Adventure, Sci-Fi",Nominated for 3 Oscars. Another 6 wins & 27 nominations.,154 min,movie,http://ia.media-imdb.com/images/M/MV5BMTkwOTY0MTc1NV5BMl5BanBnXkFtZTcwMDQwNjA2NQ@@._V1_SX300.jpg,"238,527",
2011,tt1568911,War Horse,notalk-disagree,notalk,FAIL,70000000,79883359.0,156815529.0,2011FAIL,72498355,82734459.0,162412399.0,1.0,1.0,1568911,Young Albert enlists to serve in World War I after his beloved horse is sold to the cavalry. Albert's hopeful journey takes him out of England and to the front lines as the war rages on.,PG-13,True,"English, German",USA,"Lee Hall (screenplay), Richard Curtis (screenplay), Michael Morpurgo (novel), Nick Stafford (stage play)",72.0,7.3,Steven Spielberg,25 Dec 2011,"Jeremy Irvine, Peter Mullan, Emily Watson, Niels Arestrup","Drama, War",Nominated for 6 Oscars. Another 8 wins & 43 nominations.,146 min,movie,http://ia.media-imdb.com/images/M/MV5BMjExNzkxOTYyNl5BMl5BanBnXkFtZTcwODA0MjU4Ng@@._V1_SX300.jpg,"87,756",
2010,tt1542344,127 Hours,dubious-disagree,dubious,FAIL,18000000,18335230.0,60735230.0,2010FAIL,19228173,19586277.0,64879307.0,1.0,1.0,1542344,"A mountain climber becomes trapped under a boulder while canyoneering alone near Moab, Utah and resorts to desperate measures in order to survive.",R,True,"English, Italian","USA, UK","Danny Boyle (screenplay), Simon Beaufoy (screenplay), Aron Ralston (book)",82.0,7.7,Danny Boyle,28 Jan 2011,"James Franco, Kate Mara, Amber Tamblyn, Sean Bott","Adventure, Biography, Drama",Nominated for 6 Oscars. Another 15 wins & 83 nominations.,94 min,movie,http://ia.media-imdb.com/images/M/MV5BMTc2NjMzOTE3Ml5BMl5BanBnXkFtZTcwMDE0OTc5Mw@@._V1_SX300.jpg,"208,624",
2010,tt1014759,Alice in Wonderland,ok,ok,PASS,200000000,334191110.0,1024391110.0,2010PASS,213646368,356993585.0,1094287202.0,1.0,1.0,1014759,"Nineteen-year-old Alice returns to the magical world from her childhood adventure, where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror.",PG,True,English,USA,"Linda Woolverton (screenplay), Lewis Carroll (books)",53.0,6.5,Tim Burton,05 Mar 2010,"Johnny Depp, Mia Wasikowska, Helena Bonham Carter, Anne Hathaway","Adventure, Family, Fantasy",Won 2 Oscars. Another 20 wins & 43 nominations.,108 min,movie,http://ia.media-imdb.com/images/M/MV5BMTMwNjAxMTc0Nl5BMl5BanBnXkFtZTcwODc3ODk5Mg@@._V1_SX300.jpg,"227,332",
2010,tt1385867,Cop Out,notalk,notalk,FAIL,37000000,44875481.0,55909910.0,2010FAIL,39524578,47937418.0,59724746.0,1.0,1.0,1385867,"A comedy about a veteran NYPD cop whose rare baseball card is stolen. Since it's his only hope to pay for his daughter's upcoming wedding, he recruits his partner to track down the thief, a memorabilia-obsessed gangster.",R,True,"English, Spanish",USA,"Robb Cullen, Mark Cullen",31.0,5.7,Kevin Smith,26 Feb 2010,"Bruce Willis, Tracy Morgan, Juan Carlos Hernández, Cory Fernandez","Action, Comedy, Crime",,107 min,movie,http://ia.media-imdb.com/images/M/MV5BMTk0NzcxMjYwNF5BMl5BanBnXkFtZTcwMTI4MTIxMw@@._V1_SX300.jpg,"64,017",
2010,tt1226273,Edge of Darkness,notalk,notalk,FAIL,60000000,43313890.0,81208697.0,2010FAIL,64093910,46269276.0,86749716.0,1.0,1.0,1226273,"As homicide detective Thomas Craven investigates the death of his activist daughter, he uncovers not only her secret life, but a corporate cover-up and government collusion that attracts an agent tasked with cleaning up the evidence.",R,True,English,"UK, USA","William Monahan (screenplay), Andrew Bovell (screenplay), Troy Kennedy-Martin (television series)",55.0,6.6,Martin Campbell,29 Jan 2010,"Mel Gibson, Ray Winstone, Danny Huston, Bojana Novakovic","Crime, Drama, Mystery",1 nomination.,117 min,movie,http://ia.media-imdb.com/images/M/MV5BMTczMDk5MTg5Ml5BMl5BanBnXkFtZTcwOTYyMjE5Mg@@._V1_SX300.jpg,"62,756",
2010,tt1375666,Inception,dubious-disagree,dubious,FAIL,160000000,292576195.0,832584416.0,2010FAIL,170917095,312539208.0,889393184.0,1.0,1.0,1375666,A skilled extractor is offered a chance to regain his old life as payment for a task considered to be impossible.,PG-13,True,"English, Japanese, French","USA, UK",Christopher Nolan,74.0,8.8,Christopher Nolan,16 Jul 2010,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Tom Hardy","Action, Adventure, Mystery",Won 4 Oscars. Another 83 wins & 110 nominations.,148 min,movie,http://ia.media-imdb.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_SX300.jpg,"931,327",
2010,tt1013743,Knight and Day,men-disagree,men,FAIL,117000000,76423035.0,262142047.0,2010FAIL,124983125,81637519.0,280028482.0,1.0,1.0,1013743,A story of a girl who gets mixed up with a spy trying to clear his name.,PG-13,True,"English, German, Spanish",USA,Patrick O'Neill,46.0,6.3,James Mangold,23 Jun 2010,"Tom Cruise, Cameron Diaz, Peter Sarsgaard, Jordi Mollà","Action, Comedy, Romance",3 nominations.,109 min,movie,http://ia.media-imdb.com/images/M/MV5BMTM0Mzg0MzI3Ml5BMl5BanBnXkFtZTcwNjIyNzk1Mw@@._V1_SX300.jpg,"112,854",
2010,tt0955308,Robin Hood,dubious-disagree,dubious,FAIL,210000000,105487148.0,322459006.0,2010FAIL,224328687,112684730.0,344460978.0,1.0,1.0,955308,"In 13th century England, Robin and his band of marauders confront corruption in a local village and lead an uprising against the crown that will forever alter the balance of world power.",PG-13,True,"English, French","USA, UK","Brian Helgeland (screenplay), Brian Helgeland (story), Ethan Reiff (story), Cyrus Voris (story)",53.0,6.7,Ridley Scott,14 May 2010,"Russell Crowe, Cate Blanchett, Max von Sydow, William Hurt","Action, Adventure, Drama",1 win & 11 nominations.,140 min,movie,http://ia.media-imdb.com/images/M/MV5BMTM5NzcwMzEwOF5BMl5BanBnXkFtZTcwNjg5MTgwMw@@._V1_SX300.jpg,"167,266",
2010,tt1130884,Shutter Island,notalk,notalk,FAIL,80000000,128012934.0,296831073.0,2010FAIL,85458547,136747492.0,317084404.0,1.0,1.0,1130884,"In 1954, U.S. Marshal Teddy Daniels is investigating the disappearance of a murderess who escaped from a hospital for the criminally insane and is presumed to be hiding nearby.",R,True,"English, German",USA,"Laeta Kalogridis (screenplay), Dennis Lehane (novel)",63.0,8.1,Martin Scorsese,19 Feb 2010,"Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley, Max von Sydow","Drama, Mystery, Thriller",4 wins & 27 nominations.,138 min,movie,http://ia.media-imdb.com/images/M/MV5BMTMxMTIyNzMxMV5BMl5BanBnXkFtZTcwOTc4OTI3Mg@@._V1_SX300.jpg,"494,572",
2010,tt0938283,The Last Airbender,notalk-disagree,notalk,FAIL,150000000,131772187.0,319713881.0,2010FAIL,160234776,140763246.0,341528548.0,1.0,1.0,938283,"The story follows the adventures of Aang, a young successor to a long line of Avatars, who must put his childhood ways aside and stop the Fire Nation from enslaving the Water, Earth and Air nations.",PG,True,English,USA,M. Night Shyamalan,20.0,4.4,M. Night Shyamalan,01 Jul 2010,"Noah Ringer, Dev Patel, Nicola Peltz, Jackson Rathbone","Action, Adventure, Family",6 wins & 8 nominations.,103 min,movie,http://ia.media-imdb.com/images/M/MV5BMTM1NjE0NDA0MV5BMl5BanBnXkFtZTcwODE4NDg1Mw@@._V1_SX300.jpg,"90,712",
